,distilbert-base-uncased,bert-base-uncased,biobert,bioclinicalbert,medbert
0,0.07700534759358289,0.0766488413547237,0.13348247576435496,0.0306771417882529,0.19798657718120805
1,0.32976827094474154,0.3483065953654189,0.47017151379567484,0.2989150766928545,0.46830723340790453
2,0.4645276292335116,0.457397504456328,0.6081282624906786,0.49607182940516276,0.5820283370618942
3,0.5105169340463458,0.5436720142602496,0.6442953020134228,0.5940890385334829,0.622296793437733
4,0.5647058823529412,0.5975044563279858,0.6524981357196122,0.6206509539842873,0.6465324384787472
5,0.5967914438502674,0.6114081996434938,0.6685309470544369,0.6408529741863075,0.6558538404175988
6,0.5871657754010695,0.6153297682709448,0.6715137956748695,0.6490834268612047,0.6532438478747203
7,0.5946524064171123,0.6253119429590018,0.6793437733035048,0.6588103254769921,0.6536167039522744
8,0.6007130124777184,0.629590017825312,0.6789709172259508,0.6517022072577628,0.6595824011931395
9,0.6049910873440285,0.6320855614973262,0.6797166293810589,0.652450430228208,0.6599552572706935
